Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'loss': 6.8833, 'grad_norm': 25.772417068481445, 'learning_rate': 4.5e-06, 'epoch': 0.01}
{'loss': 5.8352, 'grad_norm': 19.59696388244629, 'learning_rate': 9.5e-06, 'epoch': 0.01}
{'loss': 3.5532, 'grad_norm': 15.074788093566895, 'learning_rate': 1.45e-05, 'epoch': 0.02}
{'loss': 1.7249, 'grad_norm': 9.940389633178711, 'learning_rate': 1.9500000000000003e-05, 'epoch': 0.03}
{'loss': 0.8006, 'grad_norm': 12.301736831665039, 'learning_rate': 2.45e-05, 'epoch': 0.03}
{'loss': 0.233, 'grad_norm': 3.8213698863983154, 'learning_rate': 2.95e-05, 'epoch': 0.04}
{'loss': 0.1811, 'grad_norm': 10.833999633789062, 'learning_rate': 3.45e-05, 'epoch': 0.05}
{'loss': 0.1451, 'grad_norm': 1.4972574710845947, 'learning_rate': 3.9500000000000005e-05, 'epoch': 0.05}
{'loss': 0.1282, 'grad_norm': 3.5860400199890137, 'learning_rate': 4.4500000000000004e-05, 'epoch': 0.06}
{'loss': 0.0972, 'grad_norm': 4.050704002380371, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.06}
{'eval_loss': 0.15128275752067566, 'eval_runtime': 118.8495, 'eval_samples_per_second': 11.611, 'eval_steps_per_second': 5.806, 'epoch': 0.06}
{'loss': 0.1489, 'grad_norm': 7.113101005554199, 'learning_rate': 5.45e-05, 'epoch': 0.07}
{'loss': 0.1423, 'grad_norm': 3.0367867946624756, 'learning_rate': 5.95e-05, 'epoch': 0.08}
{'loss': 0.1036, 'grad_norm': 0.8859860301017761, 'learning_rate': 6.450000000000001e-05, 'epoch': 0.08}
{'loss': 0.0838, 'grad_norm': 5.082272529602051, 'learning_rate': 6.95e-05, 'epoch': 0.09}
{'loss': 0.1197, 'grad_norm': 4.42987060546875, 'learning_rate': 7.450000000000001e-05, 'epoch': 0.1}
{'loss': 0.0871, 'grad_norm': 3.6790552139282227, 'learning_rate': 7.950000000000001e-05, 'epoch': 0.1}
{'loss': 0.1098, 'grad_norm': 4.006601810455322, 'learning_rate': 8.450000000000001e-05, 'epoch': 0.11}
{'loss': 0.0826, 'grad_norm': 1.1896840333938599, 'learning_rate': 8.950000000000001e-05, 'epoch': 0.12}
{'loss': 0.141, 'grad_norm': 2.0877130031585693, 'learning_rate': 9.449999999999999e-05, 'epoch': 0.12}
{'loss': 0.0819, 'grad_norm': 0.28347042202949524, 'learning_rate': 9.95e-05, 'epoch': 0.13}
