Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 7.84, 'grad_norm': 12.994002342224121, 'learning_rate': 0.00019961365099806827, 'epoch': 0.01}
{'loss': 0.4195, 'grad_norm': 0.5335465669631958, 'learning_rate': 0.0001991843743292552, 'epoch': 0.01}
{'loss': 0.344, 'grad_norm': 0.2660001218318939, 'learning_rate': 0.00019875509766044216, 'epoch': 0.02}
{'loss': 0.2713, 'grad_norm': 0.27838966250419617, 'learning_rate': 0.0001983258209916291, 'epoch': 0.03}
{'loss': 0.3054, 'grad_norm': 0.2570227086544037, 'learning_rate': 0.00019789654432281605, 'epoch': 0.03}
{'loss': 0.2825, 'grad_norm': 0.3613632917404175, 'learning_rate': 0.00019746726765400302, 'epoch': 0.04}
{'loss': 0.2626, 'grad_norm': 0.2400432974100113, 'learning_rate': 0.00019703799098518996, 'epoch': 0.05}
{'loss': 0.2379, 'grad_norm': 0.278714656829834, 'learning_rate': 0.0001966087143163769, 'epoch': 0.05}
{'loss': 0.2321, 'grad_norm': 0.33247920870780945, 'learning_rate': 0.00019617943764756385, 'epoch': 0.06}
{'loss': 0.2543, 'grad_norm': 0.4574703574180603, 'learning_rate': 0.0001957501609787508, 'epoch': 0.06}
{'eval_loss': 0.22161605954170227, 'eval_runtime': 139.8915, 'eval_samples_per_second': 9.865, 'eval_steps_per_second': 4.932, 'epoch': 0.06}
{'loss': 0.2334, 'grad_norm': 0.36228978633880615, 'learning_rate': 0.00019532088430993777, 'epoch': 0.07}
{'loss': 0.2069, 'grad_norm': 0.5056977868080139, 'learning_rate': 0.00019489160764112471, 'epoch': 0.08}
{'loss': 0.2128, 'grad_norm': 0.4848305284976959, 'learning_rate': 0.00019446233097231166, 'epoch': 0.08}
{'loss': 0.1941, 'grad_norm': 0.4361399710178375, 'learning_rate': 0.0001940330543034986, 'epoch': 0.09}
{'loss': 0.2247, 'grad_norm': 0.4073937237262726, 'learning_rate': 0.00019360377763468555, 'epoch': 0.1}
{'loss': 0.1739, 'grad_norm': 0.41895216703414917, 'learning_rate': 0.0001931745009658725, 'epoch': 0.1}
{'loss': 0.1558, 'grad_norm': 0.43742111325263977, 'learning_rate': 0.00019274522429705947, 'epoch': 0.11}
{'loss': 0.1674, 'grad_norm': 0.4705691933631897, 'learning_rate': 0.0001923159476282464, 'epoch': 0.12}
{'loss': 0.2341, 'grad_norm': 0.4974478483200073, 'learning_rate': 0.00019188667095943336, 'epoch': 0.12}
{'loss': 0.155, 'grad_norm': 0.3512907922267914, 'learning_rate': 0.0001914573942906203, 'epoch': 0.13}
{'eval_loss': 0.17650622129440308, 'eval_runtime': 140.0233, 'eval_samples_per_second': 9.855, 'eval_steps_per_second': 4.928, 'epoch': 0.13}
{'loss': 0.1751, 'grad_norm': 0.555902361869812, 'learning_rate': 0.00019102811762180725, 'epoch': 0.14}
{'loss': 0.1706, 'grad_norm': 0.36925622820854187, 'learning_rate': 0.00019059884095299422, 'epoch': 0.14}
{'loss': 0.1535, 'grad_norm': 0.46860188245773315, 'learning_rate': 0.00019016956428418116, 'epoch': 0.15}
{'loss': 0.1679, 'grad_norm': 0.6530353426933289, 'learning_rate': 0.0001897402876153681, 'epoch': 0.15}
{'loss': 0.164, 'grad_norm': 0.5352263450622559, 'learning_rate': 0.00018931101094655505, 'epoch': 0.16}
{'loss': 0.1294, 'grad_norm': 0.5856571793556213, 'learning_rate': 0.000188881734277742, 'epoch': 0.17}
{'loss': 0.1357, 'grad_norm': 0.5305082201957703, 'learning_rate': 0.00018845245760892894, 'epoch': 0.17}
{'loss': 0.1425, 'grad_norm': 0.34044593572616577, 'learning_rate': 0.00018802318094011592, 'epoch': 0.18}
{'loss': 0.1763, 'grad_norm': 0.5157360434532166, 'learning_rate': 0.00018759390427130286, 'epoch': 0.19}
{'loss': 0.13, 'grad_norm': 0.33650338649749756, 'learning_rate': 0.0001871646276024898, 'epoch': 0.19}
{'eval_loss': 0.14680232107639313, 'eval_runtime': 140.4191, 'eval_samples_per_second': 9.828, 'eval_steps_per_second': 4.914, 'epoch': 0.19}
{'loss': 0.1349, 'grad_norm': 0.3539235293865204, 'learning_rate': 0.00018673535093367675, 'epoch': 0.2}
{'loss': 0.1254, 'grad_norm': 0.6418096423149109, 'learning_rate': 0.0001863060742648637, 'epoch': 0.21}
{'loss': 0.1588, 'grad_norm': 0.47772860527038574, 'learning_rate': 0.00018587679759605067, 'epoch': 0.21}
{'loss': 0.1346, 'grad_norm': 0.42553505301475525, 'learning_rate': 0.0001854475209272376, 'epoch': 0.22}
{'loss': 0.1373, 'grad_norm': 0.38712233304977417, 'learning_rate': 0.00018501824425842456, 'epoch': 0.23}
{'loss': 0.1506, 'grad_norm': 0.3875294327735901, 'learning_rate': 0.0001845889675896115, 'epoch': 0.23}
{'loss': 0.0883, 'grad_norm': 0.33143743872642517, 'learning_rate': 0.00018415969092079845, 'epoch': 0.24}
{'loss': 0.1389, 'grad_norm': 0.5416207909584045, 'learning_rate': 0.0001837304142519854, 'epoch': 0.24}
{'loss': 0.1056, 'grad_norm': 0.3050915002822876, 'learning_rate': 0.00018330113758317237, 'epoch': 0.25}
{'loss': 0.1258, 'grad_norm': 0.3623819947242737, 'learning_rate': 0.0001828718609143593, 'epoch': 0.26}
{'eval_loss': 0.12661026418209076, 'eval_runtime': 140.8262, 'eval_samples_per_second': 9.799, 'eval_steps_per_second': 4.9, 'epoch': 0.26}
{'loss': 0.1073, 'grad_norm': 0.5565990209579468, 'learning_rate': 0.00018244258424554626, 'epoch': 0.26}
{'loss': 0.1739, 'grad_norm': 0.3660680949687958, 'learning_rate': 0.0001820133075767332, 'epoch': 0.27}
